Name of the River,Length(Km),No. of Monitoring locations,Year,Temp.(in degree Centigrade),pH,Conductivity(?mhos/cm),Dissolved Oxygen(D.O.)(mg/l),Biochemical oxygen demand(B.O.D.)(mg/l),Total Coliform(MPN/100 ml),Faecal Coliform(MPN/100 ml)
Ganga,2525,61,2011,Mar-37,6.7-9.1,49-10240,4-14.3,0.2-11,96000,11 105
Yamuna,1376,32,2011,Apr-38,6.9-8.8,60-1905,0-17,0.2-41,79000,11 100
Tapi,724,14,2011,24-41.5,7.0-8.7,172-41836,3.2-7.6,1.2-10,24000,
Narmada,1312,26,2011,14.7-38,7.1- 8.6,217-651,6.2- 9.9,0.8- 5.0,51000,17
Krishna,1401,26,2011,19.2-38,6.9-8.7,99-8570,1.7-15.8,0.4-16,32000,
Cauvery,800,31,2011,20-34,4.3-8.9,Jul-40,1.7-10.9,0.1-7.2,62000,2200
Mahanadi,851,23,2011,18-36,7.1–8.5,90 - 13190,4.9 -10.5,0.6 -3.6,16000,160000
Brahamani,799,16,2011,15-38,6.7–8.5,93 - 458,5.0 -9.9,0.6 - 6.6,65000,35000
Baitarni,NA,5,2011,15-36,7.1-8.4,83- 32540,5.2-11.9,0.3- 3.2,54000,24000
Subarnarekha,395,12,2011,15-38,6.5-8.4,126-408,3.0-8.6,0.2-7.0,43000,15000
Brahmaputra,916,10,2011,17-32,6.1-8.5,68-238,4.4-30,0.3-9.2,15000,1500
Satluj,1078,23,2011,1.8-25,6.8-8.69,87-1022,3.8-12,0.1-32,67000,50000
