Name of the River,Length(Km),No. of Monitoring locations,Year,Temp.(in degree Centigrade),pH,Conductivity(?mhos/cm),Dissolved Oxygen(D.O.)(mg/l),Biochemical oxygen demand(B.O.D.)(mg/l),Total Coliform(MPN/100 ml),Faecal Coliform(MPN/100 ml)
Ganga,2525,34,2004,May-35,7-8.8,72-4080,0.3-13.2,0.7-14.4,97000,11-7x105
Yamuna,1376,23,2004,Jul-35,6.8-9,76-2150,0.3-19.5,Jan-40,87000,18-62x106
Mahi,583,7,2004,20-34,7.4-9.2,166-650,2.7-8.7,0.3-4.9,16000,28-Feb
Tapi,724,10,2004,13-39,3.1-9.5,190-790,1.2-8.7,0.7-36,11000,2-9X104
Godavari,1465,11,2004,21-35,6.5-9,86-1290,2.4-9.2,0.2-15,22000,2-5 x 104
Krishna,1401,17,2004,18-38,6.7- 9,71-44000,0.4-9.2,0.3-9,12400,3-28 x 103
Cauvery,800,20,2004,19- 35,6.6-9,35-39720,3.3-9.9,9-Jan,50000,2-17 x 103
Mahanadi,851,16,2004,17- 34,6.3-8.8,105-20700,4.4- 9.4,0.2-4,47000,27-24X103
Brahamani,799,11,2004,16-28,6.3-8.4,47-402,6-9.6,0.2-7,28000,22-13x103
Baitarni,NA,5,2004,18-32,6.6-8.1,64-29118,5.9-9.8,0.4-2.6,41000,310-35x102
Subarnarekha,395,6,2004,24-28,7.8-8.3,152-623,7.1-7.5,0.4-2.5,22000,270-700
Brahmaputra,916,6,2004,15-34,5.2-9,91-445,1.1-9.4,0.4-4.3,24000,300-24x104
Satluj,1078,20,2004,29-Sep,7.1-8.3,144-694,1.6-10.3,0.1-64,29000,2-9x104
Beas,460,19,2004,Feb-29,6.9-8.5,60-396,6.8-11.8,0.2-4.8,31000,Feb-00
